ModuleName,ElementName1,ElementName2,Dept_Attachement
AutomatismeIndus,Automatismes Industriels,Supervision,GEI
TechnologieMeca,RDM,CSMT,GEI
MaintenanceQualite,Maintenance et Surete,Outils Statistiques Qualite,GEI
Energie Eolienne,Aerodynamique,Electronique de puissance,GEI
