ModuleName,ElementName1,ElementName2,Dept_Attachement
AlgAnalys1,Algebre1,Analyse1,SIC
Physique1,Electoricinetique,Instrumentation1,GEI
Chimie,Atomestique,Chimie Organique,SIC
Physique2,Electrostatique,Magnetostatique,SIC
