ModuleName,ElementName1,ElementName2,Dept_Attachement
JAVAetXML,JAVA,XML,SIC
UMLetIHM,UML,IHM,MI
AdminProgramSys,Administration Systeme,Programmation Systeme,MI
TechnologiesDistribuees,J2EE,C#,SIC
