ModuleName,ElementName1,ElementName2,Dept_Attachement
AutomatismeMaintenance,Automatismes Industriels,Maintenance Industrielle,GEI
CommandeIndusrielle,Commande Numerique des sys,Reseaux locaux industriels,GEI
FabricationMecanique,Procedes de fabrication,CFAO,GEI
ConceptionMecanique,Conception des systemes,Analyse de valeur1,GEI
