ModuleName,ElementName1,ElementName2,Dept_Attachement
TechnologiesNetJ2EE,J2EE Framework et Outils,Programmation mobile NET,SIC
Intelligence Artificielle,IA avancee ,Ingenieurie de Connaissances,MI
WebServicesApplications,.NET ,Web Services,MI
TestFiabiliteLogiciels,AGL et Metrologie Logiciel,Verification et Validation,SIC
