ModuleName,ElementName1,ElementName2,Dept_Attachement
MILSupplyChain,Supply Chain Management,Ordonnancement,GEI
MILLogistique,Logistique Indutrielle et transp,Logistique Maritime,GEI
MILSecuriteEnergie,Analyse de donnees indus,Securite et Ergonomie,GEI
MILQualiteEnvironnement,Management de l'innovation,Management de la Qualite,SIC
