ModuleName,ElementName1,ElementName2,Dept_Attachement
ReseauxMobiles2,Reseaux Mobiles de Nv Gen,Signalisation 2G/3G,SIC
Info3,Fouille de Donnees,Developpement Mobile,GEI
Objets Communicants,Sys Electro Communicants,Smarts Objets,SIC
Telecom7,Reseaux de capteurs sans fils,Telecoms Satellitaires,SIC
