ModuleName,ElementName1,ElementName2,Dept_Attachement
ValorisationDechets,Recyclage Industriel,Biogaz,GEI
ResponsabliliteSociale,Outils RSE,Legislation de Travail,SIC
EfficaciteEnergitique,Efficacite Energitique,RTBM et Simulation,GEI
ChauffageClimat,Systeme de chauffage,Froid Industriel,GEI
