ModuleName,ElementName1,ElementName2,Dept_Attachement
StatistiqueSugnal,Statistiques Appliquees,Traitement de signal,SIC
Electronique,Electronique Analogique,Electronique Numerique,SIC
Programmation,Langage C,PHP,MI
Devloppement info2,POO en C++,PHP5,SIC
