ModuleName,ElementName1,ElementName2,Dept_Attachement
OndesPropagation,Ondes Electromagnetiques,Lignes de Transmission,SIC
Electronique,Electronique Analogique,Electronique Numerique,SIC
Automat1Electrotech1,Electrotechnique,Automatisation Lineaire,GEI
Informatique,Base de donnees R,PHP,SIC
