ModuleName,ElementName1,ElementName2,Dept_Attachement
StatistiqueSignal,Traitement de signal,TPSignal,GEI
Electronique,Electronique Analogique,Electronique Numerique,SIC
Telecom1,Ondes Electromagnetique,Lignes de transmission,SIC
AutomatiqueReseaux,Automatique lineaire,Concept des Resaux,SIC
